url,Storia,Attivita,Nome,Data di nascita,Luogo di Morte,Luogo di Nascita,La vita,Data di morte
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50573&Pag=11&IdSel=1, Rottura secolare dell'unita della penisolaLa presenza della Chiesa,Vescovo di Trento,Agnello,Prima meta del 500,sconosciuto,sconosciuto ,"I momenti di formazione dello scisma dei tre capitoli in Oriente come premessa per le sorti della Chiesa trentina Il ruolo dei longobardi relativamente allo scisma della Chiesa trentina Le iniziative di pace del vescovo Agnello e le sue qualita diplomatiche La partecipazione del vescovo ai vari sinodi, in particolare a quello che sanci la separazione dalla Chiesa romana.",A cavallo tra il 500 e il 600
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50580&Pag=12&IdSel=1, L'avventura del duca Alachi e la fine dell'autonomia,duca longobardo,Alachi,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50767&Pag=13&IdSel=1, La cultura delle riviste e degli annuari,,Alberti Lutti Francesca,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50599&Pag=14&IdSel=1, Il potere dei vescovi si sviluppa all?ombra dell?Impero,Vescovo di Trento,Alberto di Campo,prima meta del 1100,sconosciuto,Campo (valli Giudicarie),L'elezione al vescovado Lo sviluppo dell'autorita del vescovo e il ruolo dell'imperatore nel processo di stabilizzazione Le altre iniziative e la morte del vescovo ,Fine del 1188
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50394&Pag=15&IdSel=1," Trento e il Tirolo sono oggetto del contendere sullo scacchiere europeoGli Asburgo diventano conti del Tirolo e impongono ai vescovi le ""compattate""Dalle seconde ""compattate"" del 1454 al libello territoriale del 1511: la sovranita dei vescovi nel quadro del legame col Tirolo",Vescovo di Trento,Alberto di Ortenburg,Prima meta del 1300,Trento ,Ortenburg (Carinzia),"L'influenza del ducato d'Austria sulla scelta del nuovo vescovo Le condizioni contenute nelle ""compattate"" del 1363. La resa del potere vescovile di fronte a quello dei duchi d'AustriaLe perplessita degli studiosi sulla reale esistenza delle ""compattate"" del 1363 in rapporto a quelle del 1365La crisi del principato vescovile",9 settembre 1390
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50568&Pag=16&IdSel=1, Rottura secolare dell'unita della penisolaOccupazione del Trentino,re longobardo,Alboino,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50395&Pag=17&IdSel=1, Il potere dei vescovi si sviluppa all?ombra dell?ImperoL'imperatore Federico II pone a Trento un podestaCresce la potenza dei Tirolo-Gorizia,Vescovo di Trento,Aldrighetto di Campo,A cavallo tra il 1100 e il 1200,sconosciuto,Campo (Valli Giudicarie),"Le origini storiche dell'istituto dell' ""avvocazia"". Le insidie del conte Alberto Il cedimento di Aldrighetto alle pressioni del conte Alberto. Le accuse di ghibellinismo nei confronti del vescovo",inizio del 1247
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50396&Pag=18&IdSel=1, Il potere dei vescovi si sviluppa all?ombra dell?Impero,,Aldrighetto di Castelbarco ,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50548&Pag=19&IdSel=1, Come impostare il problemaEvangelizzazione del territorio ruraleLa scuola fino al XVI secolo,martire del IV secolo,Alessandro,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50397&Pag=20&IdSel=1, I vescovi Giorgio Liechtenstein e Alessandro di Masovia mettono l?alleanza in discussione,Vescovo di Trento,Alessandro di Mazovia,Seconda meta del 1300,Vienna ,Mazovia (Polonia),"L'antagonismo con Federico ""Tascavuota"". Il principato di Trento nel gioco del conflitto fra Milano e Venezia Il contributo di Alessandro di Mazovia alla causa dell'autonomia del principato e della lotta alle eresie",2 giugno 1444
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50733&Pag=21&IdSel=22, La posizione della Chiesa trentina,Vescovo di Trento,Alessandro Maria Gottardi,30 aprile 1912,Trento,Venezia,Vai al sito dell'Arcidiocesi di Trento,24 marzo 2001
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50398&Pag=22&IdSel=22, Il potere dei vescovi si sviluppa all?ombra dell?Impero,Vescovo di Trento,Altemanno,A cavallo tra l'XI e il XII secolo,Trento ,Carinzia,"La formazione agostiniana di Altemanno e la novita della designazione a vescovo con le nuove regole concordatarieI rinnovamenti negli edifici delle chiese, in particolare quelli effettuati con la valorizzazione dell'opera dei Canonici regolari. La solenne consacrazione della nuova Cattedrale di San Vigilio e la novita dei monasteri di San Michele all'Adige e di Suben sull'InnLa sua morte dopo la spedizione in Terrasanta. I tratti distintivi della sua azione politica ",26 o 27 marzo 1149
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458245&Pag=23&IdSel=22,,Vescovo di Trento,Amatore,Seconda meta del 700,sconosciuto,sconosciuto,"Amatore, vissuto alla conclusione del secolo VIII, e ricordato unicamente per via della sua menzione ricavata dal Dittico Udalriciano, ma proprio la sua semplice denominazione rivela un particolare interessante. Il Dittico infatti riporta il nome di Amatore come l'ultimo di una lunga serie di nomi di origine latina, mentre dopo di lui i responsabili della diocesi di Trento avranno origine franca, e successivamente, germanica. Cio significa che Amatore rappresento l'ultimo personaggio ai vertici della diocesi scelto tra le famiglie esponenti della cultura e della tradizione risalente al patriziato romano, prima di un generale cambiamento dovuto alla penetrazione della politica carolingia anche nel nostro territorio, frutto della collaborazione fra l'Impero franco e la Santa Sede.",Prima meta dell'800
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50399&Pag=24&IdSel=22, La cultura trentina a cavallo dei due secoli,storico e letterato,Ambrosi Francesco,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50564&Pag=25&IdSel=22, Il regno dei Goti,storico,Ammiano Marcellino,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50737&Pag=26&IdSel=22, La scuola cattedrale e le scuole dei monasteriI maestri di grammatica,,Antonio da Trento,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50503&Pag=27&IdSel=22, Antichi e nuovi contrasti politici nei governi vescovili del Settecento,Vescovo di Trento,Antonio Domenico Wolkenstein,29 gennaio 1662,forse Trento,sconosciuto ,"Gli esordiIl rischio, per la diocesi di Trento, di venire subordinata alla circoscrizione arcivescovile di Salisburgo. Gli interventi della curia trentina a difesa dello status quo anteLa conclusione positiva della vicenda",5 aprile 1730
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50768&Pag=28&IdSel=22, La cultura delle riviste e degli annuari,,Anzoletti Luisa,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=349287&Pag=29&IdSel=22,,artista,Arcangeli Maurizio,1959,,"Montecosaro,MC","Nasce a Montecosaro vicino a Macerata nel 1959. Inizia ad esporre nel 1986 con la mostra Palinsesti a Ravenna alla galleria 420WB. Le sue opere si fondano sul linguaggio che piega, forza, come se fosse una materia. Negli anni novanta sono numerose le partecipazioni a mostre, tra le quali si ricordano: Ibrido neutro. Ipotesi di Evoluzione nella scultura italiana a Spoleto nel 1993, l'anno seguente Soggetto-soggetto a Rivoli, nel 1997 La bellezza e difficile - Ezra Pound e le arti a Milano presso il Palazzo Bagatti Valsecchi, e la galleria di Monica De Cardenas ospita a Milano La danza della pioggia nel 1993, MA! nel 1997 e nel 2001 Life, Thought, Art, Love.L'artista privilegia, in un'epoca che e un inno alla sveltezza e al consumo, la pazienza, la lentezza, e l'attenzione del vivere. Tutti modi che attaverso il paradosso e il gioco attribuiscono nuovi sensi al linguaggio. La scritta UN QUADRO si tramuta in una decorazione a forma di quadro, la scritta SCULTURA diventa, attraverso le lettere tridimensionali, una scultura, la scritta affresco dipinta sul muro un affresco vero, eccetera. Arcangeli dunque pratica uno spiazzamento ""il nome delle cose non corrispone alle cose nominate"". In un'altra operazione evidenzia la punteggiatura di una strofa poetica omettendo le parole, sottolinea i dettagli attraverso, come commentavano i itoli programmatici di sue mostre nuove sinergie e punti di vista. Sua ultima esposizione Otto lettere +- presso il museo virgiliano di Pietole nel maggio 2001.BibliografiaAltamira A., Linguaggio/ immagine (cat. mostra), Milano, Archivio Nuova Scrittura, 1993;I musicanti di Brema (cat. mostra), Viterbo, Galleria Miralli, 1994Bellini R. (a cura di), Anni '90. Arte a Milano (cat. mostra), Milano, Galleria Credito Valtellinese, Biblioteca Nazionale Braidense. Spazio Vigentina 1995;Ectoplasmi (cat. mostra), Lecco, Galleria Effe, 1997;Deho V. (a cura di), Maurizio Arcangeli, Yumi Karasumaru, Spazio Aperto (cat. mostra), Bologna, Galleria d'Arte Moderna, 1998;Il grande Vetro (cat. mostra), Bologna, Severiarte, 1998;Acqua Arie (cat, mostra), Lecco, Galleria Effe, 2000;Life, Thought, Art, Love (cat. mostra), Milano, Galleria Monica De Cardenas, 2001;Grazzi A., Scardi G., Feletra M. (testi di), Otto lettere ± (cat. mostra), Pietole, Museo Virgiliano, 2001Boschiero N. (a cura di), Il deposito della Grazia e l'archivio di Nuova Scrittura, (cat. mostra), Rovereto, Archivio del '900, 2001",
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50596&Pag=30&IdSel=22, Il principato vescovile,marchese,Arduino d'Ivrea,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458247&Pag=31&IdSel=22,,Vescovo di Trento,Arnaldo,Prima meta del 900,sconosciuto,sconosciuto (forse Pavia),Le protezioni del vescovo Arnaldo e le scarse informazioni riportate sulla sua vitaLe caratteristiche di una crescente autonomia raggiunta gradualmente dalla diocesi trentinaI fermenti della conflittualita fra papato e Impero come premessa per i destini futuri della diocesi di Trento,Verso la conclusione del 900
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458248&Pag=32&IdSel=22,,Vescovo di Trento,Arnoldo,A cavallo tra l'XI e il XII secolo,sconosciuto,sconosciuto,"Le notizie biografiche pervenute sul vescovo Arnoldo e la prima ""avvocazia"" sulla Chiesa di TrentoLe origini dell' ""avvocazia"" e le sue conseguenze per la diocesi",15 febbraio 1152
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458384&Pag=33&IdSel=22,,Vescovo di Trento,Aspidio,Fine del 300,sconosciuto,sconosciuto,"Il vescovo viene nominato nel Dittico Uldariciano, ma non e stato possibile rintracciare altre notizie nelle fonti storiche.",Prima meta del 400
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458389&Pag=34&IdSel=22,,Vescovo di Trento,Asterio,A cavallo tra il 400 e il 500,sconosciuto,sconosciuto,"Il vescovo viene nominato nel Dittico Uldariciano, ma non e stato possibile rintracciare altre notizie nelle fonti storiche.",Verso la seconda meta del 500
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458249&Pag=35&IdSel=22,,Vescovo di Trento,Attone,Prima meta dell'XI secolo,sconosciuto,sconosciuto,"Non abbiamo gran quantita di notizie riguardo a questo vescovo, che il Dittico Udalriciano presenta come il successore dello stesso Udalrico II. Di lui e stata riportata la menzione soltanto nell'anno 1055, in occasione di una cronaca che riporta alcuni avvenimenti relativi all'ultimo viaggio che l'imperatore Enrico III effettuo in Italia. L'imperatore rientrava nella circostanza in Germania e Attone lo accompagnava con la sua scorta. Della sua morte si conosce soltanto il giorno, ossia il 14 settembre, come ci conferma un necrologio del capitolo di San Pietro a Bamberga, ma risulta sconosciuto l'anno. Si sa comunque con certezza che essa sia avvenuta dopo il 27 dicembre 1057, ossia dopo il giorno della consacrazione del vescovo Gundekar all'episcopato di Eichstadt. Sono questi anni decisivi per la storia, in procinto di accogliere due eventi che avrebbero influito in modo determinante sulle sorti del continente europeo. Il primo era rappresentato dal conflitto fra il papa Gregorio VII e l'imperatore Enrico IV, che stava ormai per divampare e che avrebbe visto di fronte due tra i piu grandi protagonisti dell'epoca medievale. Il secondo invece, l'avvento delle crociate, avrebbe conosciuto la sua espressione massima nel giro di un trentennio; tuttavia i suoi fermenti erano gia in pieno sviluppo ed esso si sarebbe rivelato un avvenimento destinato a spostare verso Oriente il baricentro politico, sociale e culturale dell'Europa.",Il 14 settembre di un anno compreso tra il 1057 e il 1068
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50661&Pag=36&IdSel=22, L'organizzarsi dei partiti politiciL'attivita dei deputati trentini alla Camera di ViennaL'avvento del fascismo,,Avancini Augusto,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50705&Pag=37&IdSel=22, La resistenza,,Bacchi Egidio,,,,,
