remoteId;published;modified;Nome;"Abstract (descrizione in breve)";Descrizione;Competenze;"Scheda della struttura";"Orario per il pubblico";Immagine;"Tipologia della Struttura";"Servizio di appartenenza";"Incarico di appartenenza";"Ufficio di appartenenza";"Struttura di appartenenza";"Area di appartenenza";Circoscrizione;"Telefono segreteria";Fax;"Indirizzo e-mail";"Indirizzo e-mail secondario";"Indirizzo e-mail certificata";Sede;Indirizzo;CAP;"Identificativo DB AS400 struttura (univoco)";"Codice identificativo della struttura AS400";"Codice del servizio (primo livello) AS400";"Codice dell'incarico (secondo livello) AS400";"Codice dell'ufficio (terzo livello) AS400";"Codice della struttura (quarto livello) AS400";"Codice altra struttura (quinto livello) AS400";"Data inizio validità";"Data fine validità";lat;lon;address
struttura222;2009-10-29T17:12:44+01:00;2013-04-15T20:00:02+02:00;"Cimitero di via Giusti";;;;;;;"Altra struttura";"SERVIZI FUNERARI";;;;"AREA SERVIZI ALLA PERSONA";"Circoscrizione n. 11 - S. Giuseppe S. Chiara";0461-884460;0461-884562;;;;"CIMITERO DI TRENTO E UFFICI COMUNALI (FUNERARIO)";"VIA C. MADRUZZO, 6  ";38122;222;222;38;0;0;1;0;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.063456;11.118908;"VIA C. MADRUZZO, 6   "
struttura223;2009-10-29T17:12:48+01:00;2013-02-25T15:56:51+01:00;"Camere Mortuarie";"Informazioni di contatto, personale assegnato e altre informazioni utili";" c/o Ospedale Santa Chiara via S.F. Crosina - B.Sartori, n 4";;;"


da lunedì al sabato 8 -18

domenica e festivi  8 -12  14 -18


";;"Altra struttura";"SERVIZI FUNERARI";;;;"AREA SERVIZI ALLA PERSONA";;0461-903219;;;;;;;;223;223;38;0;0;2;0;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;0;4.511256;" "
struttura207;2009-10-30T09:55:18+01:00;2013-02-15T11:57:29+01:00;"Cantiere Strade";"Informazioni di contatto, personale assegnato e altre informazioni utili";;;;;;"Ulteriore struttura";"GESTIONE STRADE E PARCHI";;"Manutenzione aree demaniali (Strade)";;"AREA TECNICA E DEL TERRITORIO";"Circoscrizione n. 12 - Centro storico - Piedicastello";"0461-889672  0461-884780";0461-889670;;;;"CAPANNONE SEDE CANTIERE VIA MACCANI";"VIA E. MACCANI, 150  ";38121;207;207;27;0;2;0;1;2009-01-01T00:00:00+01:00;;46.091149;11.108474;"VIA E. MACCANI, 150   "
struttura259;2009-10-30T09:57:08+01:00;2010-12-31T12:40:03+01:00;"Squadra Pronto Intervento";;;;;;;"Ulteriore struttura";"GESTIONE STRADE E PARCHI";;"Manutenzione aree demaniali (Strade)";;"AREA TECNICA E DEL TERRITORIO";"Circoscrizione n. 12 - Centro storico - Piedicastello";0461-884771;;;;;"TOP CENTER  - UFFICI COMUNALI";"VIA DEL BRENNERO,        312  ";38121;259;259;27;0;2;0;2;2009-07-01T00:00:00+02:00;1970-01-01T00:59:59+01:00;46.090683;11.117483;"VIA DEL BRENNERO,        312   "
struttura415;2016-12-30T00:00:00+01:00;2017-03-08T11:50:01+01:00;Archivio;;;;;"dal lunedì al venerdì dalle 8.30 alle 12";;"Altra struttura";"INNOVAZIONE E SERVIZI DIGITALI";;"Protocollo e spedizione";;"DIREZIONE GENERALE";"Circoscrizione n. 12 - Centro storico - Piedicastello";0461-889375;0461-889370;;;;"UFFICI COMUNALI VIA MACCANI E PARCHEGGIO VIGILI";"VIA E. MACCANI, 148  ";38121;415;0;8;;3;1;;2016-12-30T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.091015;11.10881;"VIA E. MACCANI, 148   "
struttura430;2016-12-30T00:00:00+01:00;2017-01-17T14:41:04+01:00;URP;;;;;"Da lunedì a venerdì dalle 9 alle 16.30";/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/urp/10234728-2-ita-IT/URP.png;"Ulteriore struttura";"BENI COMUNI E GESTIONE ACQUISTI";;;;"DIREZIONE GENERALE";"Circoscrizione n. 12 - Centro storico - Piedicastello";"0461-884453    numero verde 800017615";0461-884457;comurp@comune.trento.it;;;"UFFICI COMUNALI EDIFICIO TORRE MIRANA E LOGGIA";"VIA R. BELENZANI, 3  ";38122;430;0;40;;;;1;2016-12-30T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.069545;11.121285;"VIA R. BELENZANI, 3   "
struttura432;2016-12-30T00:00:00+01:00;2016-12-31T20:05:11+01:00;Stamperia;;;;;;;"Altra struttura";"BENI COMUNI E GESTIONE ACQUISTI";;Economato;;"DIREZIONE GENERALE";"Circoscrizione n. 12 - Centro storico - Piedicastello";0461-884336;;stamperia@comune.trento.it;;;"UFFICI COMUNALI PALAZZO THUN";"VIA R. BELENZANI, 19  ";38122;432;0;40;;1;1;;2016-12-30T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.069111;11.121313;"VIA R. BELENZANI, 19   "
struttura448;2017-01-01T00:00:00+01:00;2017-03-17T20:05:03+01:00;Avvocatura;;;"


Provvede alla tutela dei diritti e degli interessi del Comune in qualsiasi sede e forma. Formula pareri su atti comunali che possano dare adito a contestazioni o comunque costituire materia di lite. 

Assicura inoltre la consulenza su materie giuridiche nonché sulla attività legislativa dello Stato, della Regione e della Provincia a richiesta degli Amministratori comunali, del Segretario generale, nonché delle altre strutture organizzative comunali.

Le attività di patrocinio sono svolte da tutti i laureati assegnati alla struttura in possesso della relativa abilitazione e iscritti nell'apposito elenco.

 Cura le problematiche e la gestione diretta del contenzioso tributario.


";;;;"Altra struttura";"SEGRETERIA GENERALE";;;;;"Circoscrizione n. 12 - Centro storico - Piedicastello";0461-884350;0461-884159;avvocatura@comune.trento.it;;avvocatura.comune.tn@cert.legalmail.it;"UFFICI COMUNALI PALAZZO THUN";"VIA R. BELENZANI, 19  ";38122;448;0;1;;;1;;2017-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.069111;11.121313;"VIA R. BELENZANI, 19   "
struttura133;2008-01-01T00:00:00+01:00;2017-01-02T20:05:25+01:00;"Madonna Bianca";"Nido d'infanzia comunale";"Vedi informazioni dettagliate";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/madonna-bianca/2924090-2-ita-IT/Madonna-Bianca.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 10 - Oltrefersina";0461-931290;0461-931290;nido.madonnabianca@progestrento.it;;;"SCUOLA MATERNA E ASILO NIDO ""MADONNA BIANCA""";"VIA A. BETTINI, 1  ";38123;133;133;18;;1;15;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.040213;11.135067;"VIA A. BETTINI, 1   "
struttura283;2010-01-01T00:00:00+01:00;2017-01-02T20:05:47+01:00;"Il Magicocastello";"Nido d'infanzia comunale";"Vedi informazioni dettagliate";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/il-magicocastello/2943063-3-ita-IT/Il-Magicocastello.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 12 - Centro storico - Piedicastello";0461-261443;0461-221868;nido.magicocastello@progestrento.it;;;"ASILO NIDO ""MAGICOCASTELLO"" (PETRARCA)";"VIA F. PETRARCA, 9  ";38122;283;0;18;;1;24;;2010-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.071911;11.123444;"VIA F. PETRARCA, 9   "
struttura382;2016-01-11T00:00:00+01:00;2018-01-29T11:24:17+01:00;"Nucleo Edilizia";;;;;"L'ufficio è aperto al pubblico dal lunedì al venerdì dalle 07.00 alle 09.00 oppure previo appuntamento.Per insegne e impianti pubblicitari l'orario al pubblico è da lunedì al venerdì dalle 09.00 alle 11.00.";;"Ulteriore struttura";"CORPO POLIZIA LOCALE DI TRENTO - MONTE BONDONE";;;"Posizione in staff comando";;"Circoscrizione n. 12 - Centro storico - Piedicastello";0461889270;0461889109;;;poliziam.comune.tn@cert.legalmail.it;"UFFICI COMUNALI VIA MACCANI E PARCHEGGIO VIGILI";"VIA E. MACCANI, 148  ";38121;382;0;6;;;1;3;2016-01-11T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.091015;11.10881;"VIA E. MACCANI, 148   "
struttura389;2016-01-11T00:00:00+01:00;2017-08-21T11:07:36+02:00;"Ufficio Gestione Apparati";"Manutenzione, aggiornamento e revisione di tutte le apparecchiature in dotazione alla Polizia Locale.";;;;"L'ufficio non è aperto al pubblico.";;"Ulteriore struttura";"CORPO POLIZIA LOCALE DI TRENTO - MONTE BONDONE";;"Area amministrativa e contenzioso";"Sezione comando";;"Circoscrizione n. 12 - Centro storico - Piedicastello";0461889130;0461889109;;;poliziam.comune.tn@cert.legalmail.it;"UFFICI COMUNALI VIA MACCANI E PARCHEGGIO VIGILI";"VIA E. MACCANI, 148  ";38121;389;0;6;;1;1;4;2016-01-11T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.091015;11.10881;"VIA E. MACCANI, 148   "
struttura386;2016-01-11T00:00:00+01:00;2017-08-21T11:18:12+02:00;"Ufficio Segreteria Dirigente";;;;;"Per appuntamento con il Comandante dott. Lino Giacomoni chiamare dal lunedì al giovedì con orario 08.00 - 12.00 e 14.00 - 16.00. Il venerdì con orario 08.00 - 12.00";;"Ulteriore struttura";"CORPO POLIZIA LOCALE DI TRENTO - MONTE BONDONE";;"Area amministrativa e contenzioso";"Sezione comando";;"Circoscrizione n. 12 - Centro storico - Piedicastello";0461889100;0461889109;;;poliziam.comune.tn@cert.legalmail.it;"UFFICI COMUNALI VIA MACCANI E PARCHEGGIO VIGILI";"VIA E. MACCANI, 148  ";38121;386;0;6;;1;1;1;2016-01-11T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.091015;11.10881;"VIA E. MACCANI, 148   "
