NOME,DESCRIZIONE,ENGLISH DESCRIPTION,CATEGORIA,LATITUDINE (es. 46.281419),LONGITUDINE (es. 11.523885),VIA,CAP,LOCALITA'/CITTA',CONTATTO NOME,CONTATTO TELEFONO,CONTATTO EMAIL,CONTATTO FAX,CONTATTO URL,ORARI,SERVIZI,PREZZI (camera singola mezza pensione),TAG 1,TAG 2,TAG 3,TAG 4,TAG AGGIUNTIVI,CAPIENZA (letti),STORIA,CURIOSITA',COME ARRIVARE,ACCESSIBILITA'
AI VICOLI ,Ristorante e Winebar,Restaurant and Winebar,Ristorante,46.069691,11.121088,Piazza Santa Teresa Verzieri ,38122,Trento,,(+39) 0461 260673,info@aivicoli.it,,www.aivicoli.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
ALLA MOSTRA,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.071188,11.125855,"Piazza della Mostra, 13 ",38122,Trento,,(+39) 0461 230787,,(+39) 0461 230787,http://www.allamostra.it/,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
AL MARINAIO ,"Ristorante con prodotti tipici, bar e pasticceria",Restaurant with tipical products; café; patisserie,Ristorante,46.033955,11.129333,Via dei Marinai d’Italia ,38123,Trento,,(+39) 0461 1734471/933053,info@almarinaio.eu ,(+39) 0461 933053,www.almarinaio.eu,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
AMERICA – EL MERICAN,Ristorante e bar,Restaurant and café,Ristorante,46.070986,11.123430,"Via Torre Verde, 50",38122,Trento,,(+39) 0461 983010,info@hotelamerica.it,(+39) 0461 230603,www.hotelamerica.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
CHISTE’,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.068883,11.121255,"Via delle Orne, 4",38122,Trento,,(+39) 0461 262979,,,,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
CLESIO c/o GRAND HOTEL TRENTO,Ristorante con cucina tipica,Typical restaurant,Ristorante,46.070544,11.121636,"Via Vittorio Alfieri, 1/3",38122,Trento,,(+39) 0461271000,reservation@grandhoteltrento.com,,www.grandhoteltrento.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
DOC,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.061719,11.129111,"Via Milano, 148",38122,Trento,,(+39) 0461 262022,info@doctrento.it,(+39) 0461 223120,www.doctrento.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
DUO,"Ristorante & tapas bar; marchio ""Strada del Vino e dei Sapori"", che certifica la qualità dell’offerta e dei prodotti enogastronomici.","Restaurant and Tapas café; ""Trentino’s wine and flavour route"" brand, which certifies the quality of the service, food and wine products served in these restaurants.",Ristorante,46.070127,11.119711,"Via Torre Vanga, 14",38122,Trento,,(+39) 0461 1594461/1594462,contact@duoristorante.it,,www.duoristorante.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
EVEREST,"Marchio ""Strada del Vino e dei Sapori"", che certifica la qualità dell’offerta e dei prodotti enogastronomici.","""Trentino’s wine and flavour route"" brand, which certifies the quality of the service, food and wine products served in these restaurants.",Ristorante,46.078808,11.118280,"Corso Alpini, 14",38121,Trento,,(+39) 0461 825300,info@hoteleverest.it,(+39) 0461 824527,www.hoteleverest.it,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
FORST,Ristorante birreria,Restaurant and brewery,Ristorante,46.068916,11.122541,"Via Oss Mazzurana, 38",38122,Trento,,(+39) 0461 235590,incentro.group@gmail.com,,www.nikys.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
IL CAPPELLO,Ristorante Osteria,Restaurant with tipical products.,Ristorante,46.069691,11.121088,"Piazzetta B. Lunelli, 5",38122,Trento,,(+39) 0461 235850,info@osteriailcappello.it,(+39) 0461 235850,www.osteriailcappello.it,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
IL SIMPOSIO,Ristorante e Winebar,Restaurant and Winebar,Ristorante,46.067966,11.118869,"Via Rosmini, 19",38122,Trento,,(+39) 0461 261848,ilsimposiotrento@gmail.com,(+39) 0461 261848,www.ilsimposio.net,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
LOCANDA MARGON,"Marchio ""Strada del Vino e dei Sapori"", che certifica la qualità dell’offerta e dei prodotti enogastronomici.","""Trentino’s wine and flavour route"" brand, which certifies the quality of the service, food and wine products served in these restaurants.",Ristorante,46.069691,11.121088,"Via Margone, 15",38123,Ravina - Trento,,(+39) 0461 349401,contact@locandamargon.it,(+39) 0461 349080,www.locandamargon.it,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
MOVER,Ristorante e bar,"Restaurant, café",Ristorante,46.101533,11.101316,"Via Innsbruck, 13",38122,Trento,,(+39) 0461 966899,info@quidhoteltrento.com,,www.quidhoteltrento.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
NIKY'S,"Marchio ""Strada del Vino e dei Sapori"", che certifica la qualità dell’offerta e dei prodotti enogastronomici.","""Trentino’s wine and flavour route"" brand, which certifies the quality of the service, food and wine products served in these restaurants.",Ristorante,46.055005,11.120361,"Via San Pio X, 29",38122,Trento,,(+39) 0461 390828,info@nikys.it,,www.nikys.it,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
OLYMPIC,Ristorante all'interno dell'Hotel Sporting Trento,Restaurant in Hotel Sporting Trento,Ristorante,46.057736,11.112491,"Via R. da Sanseverino, 125",38123,Trento,,(+39) 0461 391215,info@hotelsportingtrento.com,(+39) 0461 392052,www.hotelsportingtrento.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
ORSO GRIGIO,Ristorante e Antica trattoria,Typical restaurant,Ristorante,46.065583,11.122052,"Via degli Orti, 19",38122,Trento,,(+39) 0461 984400,info@orsogrigiotrento.com,(+39) 0461 980953,www.orsogrigiotrento.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
OSTERIA DA GUIDO,Ristorante tipico,Typical restaurant,Ristorante,46.069413,11.126516,Parco San Marco (via livio marchetti 9?),38122,Trento,,(+39) 0461 262418,info@osteriadaguido.com,,www.osteriadaguido.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
4 STAGIONI,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.075252,11.137725,"Via San Vito, 36",38122,Trento,,(+39) 0461 987031,quttrostagioni@virgilio.it ,,www.quattrostagionisrl.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
TORREFRANCA,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.006250,11.136672,"Via Pomeranos, 43",38122,Trento,,(+39) 0461 944511,torrefranca@interfree.it,,www.ristorantetorrefranca.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
ROSA D’ORO,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.069691,11.121088,"Piazza S. Maria Maggiore, 21",38122,Trento,,(+39) 0461 261792,,(+39) 0461 264177,,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
SAPORI MEDITERRANEI,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.065072,11.113966,"Via Roberto da Sanseverino, 39/4",38122,Trento,,(+39) 0461 984360,sapori.mediterranei@hotmail.it,,,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
TEX-MEX RESTAURANT CUEVA MAYA,Ristorante messicano,Mexican restaurant,Ristorante,46.067450,11.120880,"Piaza Duomo, 22",38122,Trento,,(+39) 0461 984507,trento@cuevamaya.it,,www.cuevamaya.it/trento,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
UVA E MENTA,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.065422,11.123858,"Via Dietro le Mura A, 35",38122,Trento,,(+39) 0461 1903162,uvaementa@yahoo.it,(+39) 0461 1903162,,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
CHALET LO SCIATORE,Ristorante e bar,"Restaurant, café",Ristorante,46.040137,11.058590,"Strada di Vason, 84",38123,Trento,,(+39) 340 7124107,,,,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
MALGA BRIGOLINA,Malga e ristorante con cucina tipica,Alpine hut with typical restaurant,Ristorante,46.057136,11.060485,"Via della Brigolina, 6",38123,Monte Bondone,,(+39) 0461 947474 ,,,,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
RIFUGIO VIOTE,Rifugio e ristorante con cucina tipica,mountain dew with typical restaurant,Ristorante,46.023250,11.038169,"Località Viote, 6",38123,Monte Bondone,,(+39) 0461 948033 - 348 3590494,,,,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
MALGA CANDRIAI,Malga e ristorante con cucina tipica,Alpine hut with typical restaurant,Ristorante,46.046327,11.065047,"Strada di Candriai, 4",38123,Trento,,(+39) 0461 947526,,,www.malgacandriai.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
NEVADA,"Ristorante, pizzeria e bar","Restaurant, pizzeria and café",Ristorante,46.039756,11.058479,"Strada di Vason, 61",38123,Trento,,(+39) 0461 948117,,,www.lorenzihotels.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
IL GIARDINO DELLE SPEZIE,"Ristorante, pizzeria e bar","Restaurant, pizzeria and café",Ristorante,46.058436,10.980900,"Via Nazionale, 109",38070,Padergnone,,(+39) 0461 340122,,,www.ilgiardinodellespezie.it,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
LILLÀ,Ristorante pizzeria,Restaurant and pizzeria,Ristorante,46.097411,11.058247,"Località Maso Travolt, 12",38070,Terlago,,(+39) 0461 866159,,,www.ristorantepizzerialilla.com,,,,Mangiare,Socializzare,,,Mangiare e bere,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ai solteri,,,Farmacia,46.092449,11.118740,"Via R. Lunelli, 40",38122,Trento,,+39 0461 827944,,,,,,,Salute,,,,Servizi,,,,,
Alla Madonna,,,Farmacia,46.069877,11.122894,"Via Manci, 42",38122,Trento,,+39 0461 982584,,,,,,,Salute,,,,Servizi,,,,,
Bolghera,,,Farmacia,46.057959,11.132696,Largo M. d'Oro,38122,Trento,,+39 0461 910060,,,,,,,Salute,,,,Servizi,,,,,
Comunale via Veneto,,,Farmacia,46.058384,11.121622,"Via Veneto, 39",38122,Trento,,+39 0461 930163,,,,,,,Salute,,,,Servizi,,,,,
Comunale Clarina,,,Farmacia,46.046895,11.127781,"Via Degasperi, 92/1",38122,Trento,,+39 0461 921034,,,,,,,Salute,,,,Servizi,,,,,
Comunale S.Pio X,,,Farmacia,46.055005,11.120360,"Via San Pio X, 77",38122,Trento,,+39 0461 923756,,,,,,,Salute,,,,Servizi,,,,,
Comunale San Camillo,,,Farmacia,46.065497,11.131966,"Via Giovannelli, 15",38122,Trento,,+39 0461 238869,,,,,,,Salute,,,,Servizi,,,,,
Dall'armi,,,Farmacia,46.067339,11.120865,"Piazza Duomo, 10",38122,Trento,,+39 0461 236139,,,,,,,Salute,,,,Servizi,,,,,
Gallo,,,Farmacia,46.067421,11.124174,"Via Mantova, 51",38122,Trento,,+39 0461 234387,,,www.famaciagallo.com,,,,Salute,,,,Servizi,,,,,
Grandi,,,Farmacia,46.073767,11.124910,Via Manzoni 7/A ,38122,Trento,,+39 0461 239805,,,,,,,Salute,,,,Servizi,,,,,
Santoni,,,Farmacia,46.067906,11.122930,"Piazza Pasi, 20",38122,Trento,,+39 0461 982103,,,,,,,Salute,,,,Servizi,,,,,
S. Bartolomeo,,,Farmacia,46.053678,11.129609,"Viale Verona, 92 ",38122,Trento,,+39 0461 913593,,,,,,,Salute,,,,Servizi,,,,,
S. Chiara,,,Farmacia,46.063744,11.123622,"Via S. Croce, 57",38122,Trento,,+39 0461 982457,,,,,,,Salute,,,,Servizi,,,,,
S. Lorenzo,,,Farmacia,46.077116,11.119435,"Piazza G. Cantore, 1",38122,Trento,,+39 0461 823529,,,,,,,Salute,,,,Servizi,,,,,
Comunale Cognola,,,Farmacia,46.076499,11.142019,"Via Julg Carlo E Valeria, 5",38121,Cognola,,,,,,,,,Salute,,,,Servizi,,,,,
Comunale Madonna Bianca,,,Farmacia,46.040282,11.133530,"Via Menguzzato, 85",38123,Trento,,+39 0461 924329,,,,,,,Salute,,,,Servizi,,,,,
Comunale Meano,,,Farmacia,46.127911,11.116350,"Via delle Sugarine, 30",38121,Meano,,+39 0461 992101,,,,,,,Salute,,,,Servizi,,,,,
Comunale Piedicastello,,,Farmacia,46.070588,11.111381,"Via Brescia, 19/A",38122,Piedicasello,,+39 0461 983255,,,,,,,Salute,,,,Servizi,,,,,
Comunale Povo,,,Farmacia,46.066316,11.154153,"Piazza G.Manci, 5",38123,Povo,,+39 0461 810525,,,,,,,Salute,,,,Servizi,,,,,
Comunale San Donà,,,Farmacia,46.072428,11.139525,"San Donà, 52",38122,San Donà,,+39 0461 238706,,,,,,,Salute,,,,Servizi,,,,,
Dott. Poli Sandro,,,Farmacia,46.108217,11.112501,"Via Marco Pola, 2",38121,Gardolo,,+39 0461 990320,,,,,,,Salute,,,,Servizi,,,,,
Gardolo di Renato Brandolani,,,Farmacia,46.106110,11.108828,"Via Soprasasso, 4",38121,Gardolo,,+39 0461 993511,,,www.farmaciadigardolo.com,,,,Salute,,,,Servizi,,,,,
Martignano,,,Farmacia,46.089313,11.131508,"Via Formigheta, 1",38121,Martignano,,+39 0461 821050,,,,,,,Salute,,,,Servizi,,,,,
Mattarello,,,Farmacia,46.006964,11.127718,"Via Catoni, 69",38123,Mattarello,,+39 0461 945262,,,,,,,Salute,,,,Servizi,,,,,
Dott. Betta,,,Farmacia,46.040717,11.110908,Via Herrsching 1,38123,Ravina,,+39 0461 331490,,,,,,,Salute,,,,Servizi,,,,,
Roncafort,,,Farmacia,46.097863,11.101995,"Via Caneppele, 31",38121,Roncafort,,+39 0461 421981,,,,,,,Salute,,,,Servizi,,,,,
Sopramonte,,,Farmacia,46.074872,11.058361,"Piazza Centrale, 147",38123,Sopramonte,,+39 0461 866485,,,,,,,Salute,,,,Servizi,,,,,
Villazzano,,,Farmacia,46.047503,11.142572,"Via Tambosi, 2",38123,Villazzano,,+39 0461 921218,,,,,,,Salute,,,,Servizi,,,,,
dott.Folgoresi Paolo,,,Farmacia,45.993213,10.971720,"Via Don Negri, 22",38073,Cavedine,,+39 0461 569120,,,, 8.30 – 12.30/15.30 – 19.00 chiuso giovedì pomeriggio,,,Salute,,,,Servizi,,,,,
dott.Turazza Luigi,,,Farmacia,46.079826,11.001282,"Va Roma, 1",38070,Vezzano,,+39 0461 864032,,,, 8.30 – 12.30/15.30 – 19.00 chiuso mercoledì,,,Salute,,,,Servizi,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azienda per il Turismo Trento, Monte Bondone, Valle dei Laghi",Ufficio di Trento,Tourist Information Office in Trento,Ufficio informazioni turistiche,46.069636,11.121366,"Via Manci, 2",38122,Trento,,+39 0461 216000,informazioni@apt.trento.it,+39 0461 216060,www.discovertrento.it,9.00-19.00,,,,,,,Servizi,,,,,
"Azienda per il Turismo Trento, Monte Bondone, Valle dei Laghi",Ufficio Monte Bondone,Tourist Information Office on the Monte Bondone,Ufficio informazioni turistiche,46.050889,11.072877,"Strada di Vaneze, 13",38123,Trento,,+39 0461 947128,montebondone@apt.trento.it,+39 0461 947188,www.discovermontebondone.it,9.00-12.30 e 15.00-17.30; aperto dicembre–marzo e luglio-agosto,,,,,,,Servizi,,,,,
"Azienda per il Turismo Trento, Monte Bondone, Valle dei Laghi",Ufficio Monte Bondone,Tourist Information Office on the Monte Bondone,Ufficio informazioni turistiche,46.000874,11.086009,"Via Bagni di Fieno, 18",38060,Garniga Terme,,+39 0461 842586,garnigaterme@apt.trento.it,+39 0461 843098,www.discovermontebondone.it,Lun-ven 9.00-13.00 e 13.30-17.30,,,,,,,Servizi,,,,,
"Azienda per il Turismo Trento, Monte Bondone, Valle dei Laghi",Ufficio Valle dei Laghi,Tourist Information Office in Vezzano,Ufficio informazioni turistiche,46.075419,10.996386,"Via Roma, 61/1",38070,Vezzano,,+39 0461 864400,valledeilaghi@apt.trento.it,+39 0461 864535,www.discovervalledeilaghi.it,Lun-sab 8.30-12.30 e 14.00-18.00,,,,,,,Servizi,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa **,Hotel,Hotel,Hotel,46.051386,11.072276,"Strada di Vaneze, 31",38123,Monte Bondone,,+39 0461 947183,,+39 0461 947183,,,,n.d.,,,,,Dormire,n.d.,,,,
Prada Sport *,"Il nostro Residence si trova sul Monte Bondone a Vason a 1650 m, direttamente alla partenza delle piste. Offre appartamenti accoglienti, che possono ospitare fino a 4-5 persone, è caratterizzato da un'atmosfera accogliente e familiare, ideale per le vostre vacanze.","Our residence is located on Monte Bondone in Vason at 1650 m, directly at the start of the tracks. The Residence has comfortable apartments that can accommodate up to 4-5 people, is characterized by warm, familiar atmosphere, ideal for your holidays.",Hotel,46.038625,11.058270,"Strada di Vason, 87",38123,Monte Bondone,,+39 0461 948188,info@pradasport.tn.it,+39 0461 948188,www.pradasport.tn.it,,,Appartamenti (7gg 3 letti): 299/595,,,,,Dormire,16,,,,
Alpine Mugon ****,"Il calore del legno, camere in mansarda con travi a vista e balconi per crogiolarsi al sole. Bagno privato e docce con l’idromassaggio. Tv LCD con canali satellitari, frigobar, cassaforte a combinazione, asciugacapelli e riscaldamento autonomo.","The hotel has wooden and sunny areas. Private bathroom and showers with hydromassage. Satellite TV, mini-bar, safe, hairdryer and autonomous heating system.",Hotel,46.041015,11.059336,"Strada per Vason, 118",38123,Monte Bondone,,+39 0461 947116 - 0461 939063,info@mugon.it,+39 0461 947129,www.mugon.it,,,50/90 (camera doppia),,,,,Dormire,96,,"Perché Mugon? Mugon oltre ad essere una pianta, è infatti il pino mugo è anche la parte di montagna che si trova qui sopra l'hotel, a sinistra della pista da sci del Palon.",,
Le Blanc Hotel & Spa ****,"Le nostre camere uniscono le più moderne dotazioni al tradizionale calore del legno. Sono a disposizione degli ospiti il lounge bar panoramico, piscina e Spa, il beauty center, il miniclub, la sala lettura, internet wi-fi, il garage e il deposito sci","Our rooms connect traditional and modern taste. Our guesta have lounge bar with wonderful view, swimming pool, spa, beauty center, mini-club, reading room, wi-fi, garage and ski deposit at their disposal.",Hotel,46.041741,11.059603,"Strada di Vason, 64",38123,Monte Bondone,,+39 0461 947457,reservations@leblanchotelspa.com,+39 0461 939310,www.leblanchotelspa.com,,,65/105,,,,,Dormire,180,,,,
Norge wellness resort ****,"Hotel Norge Monte Bondone Direttamente sulle piste da sci L'HOTEL NORGE si trova sul Monte Bondone in Trentino, nelle Dolomiti di Brenta. Da sempre la montagna di Trento e ottima destinazione per vacanze sia sportive che di relax. Proprio sulla pista da sci a 1.400 m di altitudine, sorge in posizione panoramica Il Nuovo Hotel Norge, l'incanto del Monte Bondone, in una zona tranquilla che dall'alto domina lo splendido scenario offerto dalle spettacolari Dolomiti e dove la sua posizione li permette di essere soleggiato durante tutto l'arco della giornata...","An Island in the heart of Trentino The New Norge Hotel is actually positioned on the skiing slopes at 1500m a.s.l with a particularly panoramic view on the enchanting Bondone Mountain, in a quiet area with a backdrop that is dominated by the spectacular Dolomites orientated as to be sunlit during the entire day…",Hotel,46.048775,11.066649,"Strada per il Norge, 3",38123,Monte Bondone,,+39 0461 947436,info@hotelnorge.it,+39 0461 947538,www.hotelnorge.it,,,70/134,,,,,Dormire,77,,,,
Montana ***?,"Il nostro albergo mette a disposizione dei propri ospiti la palestra Boulder per arrampicare al coperto, un grande auditorium multimediale da 150 posti, il garage, il miniclub e a salagiochi, deposito sci riscaldato, rete wi-fi gratuita, piscina & wellness e campo da pattinaggio.","Our guests have a boulder practice wall to climb inside the building, a large multimedia auditorium (150 places), garage, mini-club, game room, heated ski deposit, free wi-fi, swimming pool and spa, skating rink at their disposal.",Hotel,46.040801,11.058415,"Strada di Vason, 70",38123,Monte Bondone,,+39 0461 948200,info@hotelmontana.it,+39 0461 948177,www.hotelmontana.it,,,50/80,,,,,Dormire,132,,,,
Chalet Caminetto ***,"Inaugurato nel 2006, lo Chalet Caminetto offre un ambiente moderno e familiare. Si trova a 150m dalle piste da sci ed e' affacciato su uno splendido panorama dolomitico. A disposizione degli ospiti sala giochi con biliardo, ampia terrazza solarium, deposito sci riscaldato. Connessione internet gratuita disponibile via cavo nelle camere e WI-FI nella Hall . Ascensore, parcheggio e garage completano l'offerta.","The Chalet Caminetto is located at 1650mt in Vason on Monte Bondone, only 150mt far from the ski slopes. It overlooks a magnificent panorama on Dolomiti mountains, and it combines a pleasant atmosphere with all the modern comfort of a new Hotel.  Facilities include: playroom with billiard, heated ski-room, lift, private parking and garage. Internet point and internet cable-connection also available.",Hotel,46.038109,11.055346,"Strada di Vason, 139",38123,Monte Bondone,,+39 0461 948090,info@chaletcaminetto.it,+39 0461 948177,www.chaletcaminetto.it,,,50/75,,,,,Dormire,69,,,,
