N_prog;Num_archivio;data_rilascio_prima_autorizzazione;Nome_Impresa_agricola;Azienda_zootecnica;CAP;sede_impresa_agricola;indirizzo_impresa_agricola;CCIAA;pref;tel;società;malga;PEC;indirizzo_e_mail;Altitudine;Latitudine;Longitudine;Comune_Sede_Agriturismo;Indirizzo_agriturismo;Denominazione_Agriturismo;N_appartamenti;N_stanze_in_appartamento;Tot_posti_letto_in_appartamento;N_bagni_appartamento;N_Stanze;Tot_posti_letto_in_stanze;N_bagni_in_stanze;N_tot_stanze_e_stanze_in_appartamento;Tot_posti_letto;Alloggio_in_appartamenti;Alloggio_in_stanze;Prima_colazione;Ristorazione_solo_per_alloggiati;Servizio_Ristorante_per_passanti;N_posti_tavola_interni_a_struttura;N_posti_tavola_esterni_alla_struttura;N_tot_posti_tavola;N_tot_Bagni;Agricampeggio;N_piazzole;N_tot_posti_in_campeggio;Fattoria_didattica;Altre_attività_ricreative;Degustazione;Classificazione_punteggio_tabella_1;Classificazione_punteggio_tabella_2;Classificazione_punteggio_tabella_3;ASSEGNAZIONE_MARGHERITE
24;202;05/09/1990;GRUBER BRUNO;no;38030;Rovere' d/Luna;Via D. Chiesa n. 5;155838/96;0461;658659;no;no;bruno.gruber@pec.agritel.it;;251;;;Rovere' d/Luna;Via D. Chiesa n. 5;GRUBER AL RIO MOLINI;0;0;0;0;3;6;2;3;6;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;14;13;6;2
25;211;15/04/1991;PANCHERI GINO;no;38123;Trento;Loc. S. Rocco n. 3;75650/97;0461;922785;no;no;masosanrocco@pec-ditta.it;;340;;;Trento;Loc. S. Rocco n. 3;MASO S. ROCCO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;50;0;50;1;no;0;0;no;;no;21;32;12;3
26;214;28/05/1991;SANTONI BRUNO;no;38060;Tenno;Fraz. Calvola - Via S. Pietro n. 9;158968/96;0464;500820;no;no;bruno.santoni@pec.agritel.it;;428;;;Tenno;Fraz. Calvola - Via S. Pietro n. 9;CALVOLA ;0;0;0;0;6;10;5;6;10;no;si;si;no;si;25;0;25;2;no;0;0;no;;no;40;33;20;5
27;215;18/06/1991;LOZZER GRAZIANO;si;38040;Valfloriana;Fraz. Montalbiano n. 54;159290/96;0462;910002;no;no;graziano.lozzer@pec.agritel.it;;852;;;Valfloriana;Loc. Sicina;AGRITUR FIOR DI BOSCO;0;0;0;0;8;15;8;8;15;no;si;si;no;si;35;0;35;2;no;0;0;no;;no;42;33;16;4
28;220;09/08/1991;RINALDI MARCELLINA;no;38089;Storo;Via Trento n. 36;159560/96;0465;685138;no;no;marcellina.rinaldi@pec.agritel.it;;409;;;Storo;Via S. Giovanni n. 38 - Fraz. Darzo;AGRITUR SANTA BARBARA;0;0;0;0;8;9;7;8;9;no;si;si;no;si;25;0;25;3;no;0;0;no;;no;30;18;13;2
29;221;20/08/1991;BERTOLUZZA MARIA LUISA;si;38038;Tesero;Via Cerin n. 15;159722/96;0462;814215;no;no;marialuisa.bertoluzza@pec.agritel.it;;1000;;;Tesero;Via Cerin n. 15;MASO ZANON;0;0;0;0;0;0;0;0;0;no;no;no;no;si;26;20;46;1;no;0;0;no;;no;21;22;4;2
30;224;12/02/1992;BERGAMO FRANCO;no;38010;Nanno;Via Bergamo n. 15;6208/97;0463;451090;no;no;bergamo.franco60@cia.legalmail.it;;533;;;Nanno;Via Bergamo n. 15;AGRITUR FIOR DI MELO;1;1;5;1;0;0;0;1;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;15;10;12;2
31;227;14/04/1992;ZOTTELE DARIO;si;38053;Roncegno;S. Brigida, Maso Rincheri n. 4;162642/96;0461;764797;no;no;PEC.CLIENTI@ACLITRENTINE.LEGALMAIL.IT;;535;;;Roncegno;loc. Prese;RINCHER;0;0;0;0;6;12;3;6;12;no;si;si;no;si;27;33;60;1;no;0;0;si;;si;35;32;15;4
32;228;14/04/1992;PANIZZA SERGIO;si;38029;Vermiglio;Via Di Cortina n. 61;133061;0335;5252958;no;no;sergio.panizza@pec.agritel.it;info@agriturvolpaia.it;1270;;;Vermiglio;loc. Volpaia n. 3;AGRITUR VOLPAIA;3;6;9;3;2;4;2;8;13;si;si;si;no;si;55;0;55;2;no;0;0;si;;si;39;35;16;4
33;230;28/07/1992;PARIS MIRELLA;si;38020;Rumo;Fraz. Mione n. 21;163893/96;0463;530328;no;no;mirella.paris@pec.agritel.it;;939;;;Rumo;Fraz. Mione n. 21;AGRITUR MIRELLA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;28;0;28;1;no;0;0;no;;no;13;28;4;2
34;242;27/04/1993;GROFF MARIO;no;38050;S. Orsola Terme;Loc. Fratelle n. 2;45686/97;0461;551034;no;no;no pec;;925;;;S. Orsola Terme;Loc. Fratelle n. 2;GROFF MARIO;4;8;8;4;0;0;0;8;8;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;12;6;0;1
35;243;27/04/1993;VIVALDI ANTONIO;no;38060;Nago Torbole;Via Strada Granda n. 108;104479/97;0464;506185;no;no;antonio.vivaldi@pec.agritel.it;silvana.vivaldi@alice.it;85;;;Torbole;Via Strada Granda n. 108;AGRITUR VIVALDI;0;0;0;0;5;10;4;5;10;no;si;no;no;no;0;0;0;0;no;0;0;no;;no;15;12;9;2
36;244;14/05/1993;LEONARDELLI PIO;no;38010;Coredo;Via G. Inama n. 6;52427/97;0463;536335;no;no;pio.leonardelli@pec.agritel.it;;831;;;Coredo;Tavon - Via Miramonti ;LEONARDELLI PIO;8;16;32;8;0;0;0;16;32;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;18;12;7;2
37;245;19/05/1993;LEITA GIOVANNI;no;38019;Tuenno;Via S. Emerenziana n. 40;54117/97;0463;451372;no;no;giovanni.leita@pec.agritel.it;;629;;;Tuenno;Via S. Emerenziana n. 40;AGRITUR LEITA;4;4;7;4;2;3;2;6;10;si;si;si;no;no;0;0;0;0;no;0;0;si;;si;35;41;21;5
38;247;17/06/1993;MELCHIORI LIVIO;no;38010;Ton;Fraz. Vigo - Via Valle n. 23;168000/96;0463;657818;no;no;AGRITUR.MELCHIORILIVIO@PEC.IT;;452;;;Ton;Fraz. Vigo - Via Valle n. 23;BAGOLIN;0;0;0;0;4;9;4;4;9;no;si;si;no;si;25;0;25;1;no;0;0;no;;no;21;24;11;3
39;248;24/06/1993;ODORIZZI MICHELE;no;38010;Tassullo;Via F.lli Pinamonti n. 54 - Fraz. Rallo;34276/97;0463;450294;no;no;odorizzi.michele@cia.legalmail.it;;546;;;Tassullo;Via F.lli Pinamonti n. 52 - Fraz. Rallo;AGRITUR ODORIZZI;3;4;10;3;0;0;0;4;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;29;14;13;2
40;252;21/07/1993;BROCH DANIELA;si;38050;Tonadico;Passo Cereda - Località Vaieta n. 77;168208/96;0439;65028;no;no;daniela.broch@pec.agritel.it;;750;;;Tonadico;Passo Cereda;AGRITUR BROCH;4;9;12;6;1;2;1;10;14;si;si;si;no;si;55;0;55;2;no;0;0;si;;si;32;7;6;1
41;256;14/12/1993;MARTINELLI LAURO;no;38040;Centa S. Nicolò;Maso Doss n. 4;136945;0461;722125;no;no;AGRITURMARTINELLI@PEC.IT;;832;;;Centa S. Nicolò;Maso Doss n. 4;MARTINELLI LAURO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;50;0;50;2;no;0;0;no;;si;19;30;11;3
42;266;27/06/1995;SIMONI MARTINA;no;38054;Transacqua;Via Bedolè n. 29;90474/97;0439;64722;no;no;martina.simoni@pec.agritel.it;;746;;;Transacqua;loc. Vale;AGRITUR LE VALE;0;0;0;0;8;18;8;8;18;no;si;si;no;si;50;0;50;2;no;0;0;no;;no;30;25;10;3
43;280;28/03/1996;TRETTER GIORGIO;no;38019;Tuenno;Via E. Quaresima n. 13;99485/97;0463;451276;no;no;giorgio.tretter@pec.agritel.it;;629;;;Tuenno;Via E. Quaresima n. 13;AGRITUR TRETTER;4;8;14;4;0;0;0;8;14;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;28;25;13;3
44;283;24/06/1996;MARTINELLI RINALDO;no;38060;Ronzo-Chienis;Via G. Galilei n. 8;220167/96;0464;802113;no;no;no pec;;974;;;Ronzo Chienis;Via Longa n. 6;MARTINELLI RINALDO;2;5;9;3;0;0;0;5;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;16;13;5;2
45;285;10/07/1996;GIRONIMI VITTORIO;no;38028;Revò;Via F. Filzi n. 8;46477/97;0463;432396;no;no;vgironimi@pec.it;vgironimi@hotmail.it;724;;;Revò;Via F. Filzi n. 8;GIRONIMI VITTORIO;2;4;5;2;0;0;0;4;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;13;12;6;2
46;286;23/07/1996;DEMATTE' LUCIANA;no;38049;Vigolo Vattaro;Via Castagneto n. 25;220680/96;0461;847424;no;no;luciana.dematte@pec.agritel.it;;725;;;Vigolo Vattaro;Loc. Sabbionare;LA SABBIONARA;0;0;0;0;5;10;5;5;10;no;si;si;no;si;50;0;50;1;no;0;0;no;;no;26;34;3;2
47;290;04/06/1997;GIRONIMI FRANCESCO;no;38028;Revò;Via F. Filzi n. 2;187790/96;0463;432618;no;no;FRANCESCO.GIRONIMI@PEC.IT;;724;;;Revò;P.zza Clausura n. 6;GIRONIMI FRANCESCO;1;3;5;1;0;0;0;3;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;24;17;8;2
48;292;03/07/1997;CLEMENTI LUCIANO;no;38022;Caldes;Via del Brènz n. 36;116058/97;0463;901632;no;no;AGRITUR@PEC.AGRITURSOTTOILMELO.IT;;697;;;Caldes;Via del Brènz n. 40 - Fraz. Bordiana;AGRITUR SOTTOILMELO;3;7;14;5;6;14;6;13;28;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;35;26;15;4
49;293;21/07/1997;ZAMBOTTI FABIO;no;38077;Comano Terme;Loc. Vigo n. 85;106682/97;0465;701213;no;no;fabio.zambotti@pec.agritel.it;;492;;;Comano Terme;Loc. Dai Lomasone ;ZAMBOTTI FABIO;2;3;6;2;0;0;0;3;6;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;17;19;10;2
50;295;28/07/1997;SIMONI MIRELLA;si;38050;Canal S. Bovo;Via Mureri n. 9;90438/97;0439;719459;no;no;mirella.simoni@pec.agritel.it;;757;;;Canal S. Bovo;Loc. Pianazzi;MASO SANTA ROMINA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;33;0;33;1;no;0;0;no;;no;23;32;6;2
51;296;08/09/1997;SEPPI DARIO;si;38010;Ruffrè;Maso Molin n. 19;21043/96;0463;870038;no;no;SEPPI.DARIO@LAMIAPEC.IT;;1175;;;Ruffrè;Maso Molin n. 19;MAS DALLA VAL;3;8;18;3;0;0;0;8;18;si;no;si;no;si;20;10;30;2;no;0;0;si;;si;25;19;10;3
52;297;30/12/1997;ANDREIS NICOLETTA;no;38022;Caldes;Via della Villa n. 14 - fraz. S. Giacomo;151038/97;0463;902073;no;no;ANDREISNICOLETTA@PEC.IT;;697;;;Caldes;Fraz. S. Giacomo;SOLASNA;0;0;0;0;4;5;3;3;5;no;si;si;no;si;25;0;25;1;no;0;0;si;;si;30;30;18;4
53;298;23/12/1997;FANTELLI NICOLA;si;38022;Dimaro;Loc. Carciato - Via Valenti n. 39;204868/96;0463;973376;no;no;nicola.fantelli@pec.agritel.it;;766;;;Dimaro;Loc. Carciato - Via Valenti n. 39;FANTELLI;3;4;7;3;0;0;0;4;7;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;22;25;10;3
54;299;31/12/1997;PAOLAZZI ROCCO;no;38030;Faver;Via Europa n. 9 - loc. Ponciach;75353/97;0461;683424;no;no;rocco.paolazzi@pec.agritel.it;;673;;;Faver;Loc. Ponciach n.7;AGRITUR PAOLAZZI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;40;20;60;2;no;0;0;no;;no;16;29;10;3
55;300;16/01/1998;BASSETTI FERRUCCIO;no;38076;Lasino;P.zza Don V. Pisoni;194504/96;0461;564068;no;no;no pec;;468;;;Lasino;P.zza Don V. Pisoni;MINA;3;4;7;3;2;3;1;6;10;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;0;0;0;
56;302;21/04/1998;FELLIN MARCO;no;38028;Revo';Via F. Filzi n. 27;36605/97;0463;432674 / 3474711167;no;no;marco.fellin@pec.agritel.it;info@agriturmonteozol.it;724;;;Revò;Via F. Filzi n. 27;AGRITUR MONTE OZOL;6;10;20;6;0;0;0;10;20;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;16;32;12;3
57;305;20/05/1998;TORBOLI FULVIO;no;38062;Arco;P.zza Caproni n. 1- fraz. Massone;97489/97;0464;517021;no;no;fulvio.torboli@pec.agritel.it;;91;;;Arco;Loc. Monte Velo;MONTE VELO;0;0;0;0;8;8;8;8;8;no;si;si;no;si;40;0;40;1;no;0;0;no;;si;32;36;8;2
58;307;28/07/1998;GRAIFF RITA IN ZUCAL;no;38010;Romeno;Via di S. Bartolomeo n. 72;45758/97;0463;875298;no;no;no pec;;924;;;Romeno;Via di S. Bartolomeo n. 72;AGRITUR GRAIFF;3;7;10;3;5;7;3;12;17;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;22;10;2;2
59;309;09/09/1998;SALIZZONI VALTER;no;38060;Calliano;Via A. Valentini n. 31;119566/97;0464;834087;no;no;SALIZZONI@PEC.IT;;187;;;Calliano;Via A. Valentini n. 31;SALIZZONI VALTER;1;2;4;1;5;12;5;7;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;34;29;12;3
60;311;24/12/1998;CRISTEL GABRIELLA;si;38038;Tesero;Via Stava n. 65/A;23442/97;0462;814705;no;no;AGRITURDARIAL@PEC.IT;;1000;;;Tesero;Via Cavada n. 61;AGRITUR DARIAL;1;1;2;1;9;13;9;10;15;si;si;si;si;no;0;0;0;0;no;0;0;no;;no;42;27;16;4
61;315;08/03/1999;AGOSTI ANNA MARIA;no;38020;Romallo;Via F. Filzi n. 26;48347/97;0463;432473;no;no;annamaria.agosti@pec.agritel.it;mirella962@yahoo.it;733;;;Romallo;Via F. Filzi n. 26;AGOSTI ANNA MARIA;2;3;5;2;0;0;0;3;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;10;13;1;2
62;316;17/03/1999;DALDOSS GIUSEPPE;no;38010;Cavedago;Via alla Croce n. 9;8802/98;0461;654298;no;no;giuseppe.daldoss@pec.agritel.it;;864;;;Cavedago;Via alla Croce n. 9 ;ALPINO;0;0;0;0;10;15;10;10;15;no;si;si;no;si;30;0;30;1;no;0;0;no;;no;21;20;9;2
63;317;23/06/1999;MONTANI ROBERTA ANTONIA;no;38065;Mori;Fraz. Valle S. Felice - Piazza S. Felice n. 5;59829/97;0464;802022;no;no;roberta.montani@pec.agritel.it;;204;;;Mori;Fraz. Valle S. Felice - Piazza S. Felice n.19;LE CORT;4;4;8;4;0;0;0;4;8;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;23;32;16;3
64;318;06/07/1999;ZANOL LUIGINA;no;38030;Castello Molina di Fiemme;Loc. Medoina n. 2;108444/97;0462;341124;no;no;luigina.zanol@pec.agritel.it;;965;;;Castello Molina di Fiemme;Loc. Medoina n. 2;NONES;1;4;6;3;0;0;0;4;6;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;18;32;10;3
65;324;15/02/2000;MOSER GIORGIO;si;38030;Castello Molina di Fiemme;Loc. Maso Sorte n. 3 ;64240/97;0462;340522;no;no;giorgio.moser@pec.agritel.it;;965;;;Castello Molina di Fiemme;Loc. Maso Sorte n. 3 ;MASO SORTE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;50;0;50;1;no;0;0;no;;no;19;11;6;2
66;325;15/02/2000;TRAPIN PIERGIORGIO;no;38016;Mezzocorona;Via Segantini n. 49;220563/96;0461;605032;no;no;piergiorgio.trapin@pec.agritel.it;ptcamomilla24@gmail.com ;219;;;Mezzocorona;Via Segantini n. 49;MASO FRON;4;8;18;4;2;3;2;10;21;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;21;13;9;2
67;327;14/03/2000;PISETTA FERRUCCIO;no;38040;Meano di Trento;Loc. Cortesano n. 15;178179/96;0340;526939;no;no;ferruccio.pisetta@cia.legalmail.it;;500;;;Trento;Loc. Cortesano - Via Canope n. 62 - Meano;BELLA VISTA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;1;no;0;0;no;;no;17;24;2;2
68;328;16/03/2000;CHELODI MASSIMO;si;38033;Cavalese;Via Pillocco n. 3;15577/97;0462;342932;no;no;massimo.chelodi@pec.agritel.it;;1000;;;Cavalese;Via Pillocco n. 3;CHELODI;2;4;6;2;0;0;0;4;6;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;17;32;7;2
69;328;16/03/2000;CHELODI MASSIMO;no;38033;Cavalese;Via Pillocco n. 3;15577/97;0462;342932;no;si;massimo.chelodi@pec.agritel.it;;1000;;;Cavalese;Loc. Salanzada;MALGA SALANZADA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;50;20;70;1;no;0;0;no;;no;21;30;6;2
70;329;21/03/2000;FATTORIA ANTICA RENDENA;si;38086;Giustino;Via Alla Sega n. 2;4039/99;0465;501665-503009;no;no;infofattoriarendena@pec.agritel.it;;770;;;Giustino;Via Alla Sega  2;LA TRISA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;46;14;60;2;no;0;0;si;;si;25;32;17;4
71;330;21/03/2000;COMAI ALBERTO;no;38066;Riva d/Garda;Via M. Misone n. 15;148826/96;0464;553485;no;no;AGRITURCOMAI@PEC.CONFAGRICOLTURATN.IT;;73;;;Riva d/Garda;Via M. Misone n. 15;COMAI;4;7;14;4;5;10;5;12;24;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;29;10;3
72;331;30/03/2000;GIOVANNINI ALBERTO;no;38015;Lavis;Loc. Masi di Sorni n.12;115870/97;0461;870003;no;no;ALBERTO.GIOVANNINI@PEC.IT;;238;;;Lavis;Loc. Masi di Sorni n.12;AGRITUR LA LANTERNA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;40;0;40;2;no;0;0;no;;no;0;0;0;
